node,node_ip,fabric,switch,interface,vrf,last_seen
bf-node-01,10.40.12.207,dc2,dc2-leaf-203,Eth1/36,k8s-build,
bf-node-02,10.40.12.143,dc2,dc2-leaf-206,Eth1/44,k8s-build,
bf-node-03,10.40.12.33,dc2,dc2-leaf-205,Eth1/12,k8s-build,
bf-node-04,10.40.13.169,dc2,dc2-leaf-206,Eth1/31,k8s-build,
bf-node-05,10.40.12.65,dc2,dc2-leaf-202,Eth1/35,k8s-build,
bf-node-06,10.40.13.136,dc2,dc2-leaf-204,Eth1/5,k8s-build,
bf-node-07,10.40.13.207,dc2,dc2-leaf-207,Eth1/27,k8s-build,
bf-node-08,10.40.12.178,dc2,dc2-leaf-203,Eth1/40,k8s-build,
ai-train-gpu-01,10.40.16.113,dc2,dc2-leaf-203,Eth1/32,k8s-ai,
ai-train-gpu-02,10.40.16.94,dc2,dc2-leaf-201,Eth1/19,k8s-ai,
ai-train-gpu-03,10.40.16.47,dc2,dc2-leaf-207,Eth1/43,k8s-ai,
ai-train-gpu-04,10.40.16.37,dc2,dc2-leaf-203,Eth1/47,k8s-ai,
ai-train-gpu-05,10.40.15.148,dc2,dc2-leaf-208,Eth1/47,k8s-ai,
ai-train-gpu-06,10.40.15.97,dc2,dc2-leaf-208,Eth1/19,k8s-ai,
ai-train-gpu-07,10.40.15.165,dc2,dc2-leaf-205,Eth1/41,k8s-ai,
ai-train-gpu-08,10.40.16.220,dc2,dc2-leaf-203,Eth1/18,k8s-ai,
ai-train-gpu-09,10.40.16.107,dc2,dc2-leaf-206,Eth1/20,k8s-ai,
ai-train-gpu-10,10.40.15.64,dc2,dc2-leaf-204,Eth1/45,k8s-ai,
ai-train-gpu-11,10.40.16.21,dc2,dc2-leaf-207,Eth1/19,k8s-ai,
ai-train-gpu-12,10.40.15.38,dc2,dc2-leaf-201,Eth1/21,k8s-ai,
ai-train-gpu-13,10.40.16.52,dc2,dc2-leaf-207,Eth1/11,k8s-ai,
ai-train-gpu-14,10.40.15.107,dc2,dc2-leaf-201,Eth1/26,k8s-ai,
ai-train-gpu-15,10.40.16.208,dc2,dc2-leaf-205,Eth1/23,k8s-ai,
ai-train-gpu-16,10.40.16.79,dc2,dc2-leaf-205,Eth1/27,k8s-ai,
ai-train-gpu-17,10.40.15.61,dc2,dc2-leaf-202,Eth1/3,k8s-ai,
ai-train-gpu-18,10.40.16.70,dc2,dc2-leaf-201,Eth1/27,k8s-ai,
ai-train-gpu-19,10.40.16.49,dc2,dc2-leaf-207,Eth1/41,k8s-ai,
ai-train-gpu-20,10.40.16.166,dc2,dc2-leaf-202,Eth1/37,k8s-ai,
ai-train-gpu-21,10.40.15.130,dc2,dc2-leaf-201,Eth1/10,k8s-ai,
ai-train-gpu-22,10.40.16.68,dc2,dc2-leaf-206,Eth1/40,k8s-ai,
ai-train-gpu-23,10.40.15.29,dc2,dc2-leaf-208,Eth1/39,k8s-ai,
ai-train-gpu-24,10.40.15.114,dc2,dc2-leaf-203,Eth1/10,k8s-ai,
ai-train-stor-01,10.40.17.22,dc2,dc2-leaf-207,Eth1/35,k8s-ai,
ai-train-stor-02,10.40.17.52,dc2,dc2-leaf-207,Eth1/05,k8s-ai,
ai-train-stor-03,10.40.17.232,dc2,dc2-leaf-201,Eth1/28,k8s-ai,
ai-train-stor-04,10.40.18.104,dc2,dc2-leaf-206,Eth1/36,k8s-ai,
ai-infer-01,10.40.19.212,dc2,dc2-leaf-201,Eth1/46,k8s-infer,
ai-infer-02,10.40.20.214,dc2,dc2-leaf-207,Eth1/30,k8s-infer,
ai-infer-03,10.40.19.208,dc2,dc2-leaf-205,Eth1/11,k8s-infer,
ai-infer-04,10.40.20.181,dc2,dc2-leaf-208,Eth1/35,k8s-infer,
ai-infer-05,10.40.19.30,dc2,dc2-leaf-202,Eth1/47,k8s-infer,
ai-infer-06,10.40.20.123,dc2,dc2-leaf-204,Eth1/26,k8s-infer,
ai-infer-07,10.40.19.170,dc2,dc2-leaf-201,Eth1/6,k8s-infer,
ai-infer-08,10.40.19.118,dc2,dc2-leaf-203,Eth1/4,k8s-infer,
ai-infer-09,10.40.20.217,dc2,dc2-leaf-201,Eth1/31,k8s-infer,
ai-infer-10,10.40.20.150,dc2,dc2-leaf-207,Eth1/36,k8s-infer,
ai-infer-11,10.40.19.140,dc2,dc2-leaf-201,Eth1/12,k8s-infer,
ai-infer-12,10.40.19.57,dc2,dc2-leaf-203,Eth1/45,k8s-infer,
