src_workload,dest_workload,process,approved
ai-train/trainer,ai-train/checkpoint-store,/usr/bin/python3.11,true
ai-train/eval-runner,ai-train/checkpoint-store,/usr/bin/python3.11,true
ai-train/ckpt-compactor,ai-train/checkpoint-store,/usr/bin/python3.11,true
ai-train/trainer,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/eval-runner,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/data-loader,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/tokenizer-service,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/shard-manager,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/run-tracker,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/sweep-controller,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/hp-tuner,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/feature-builder,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/augmenter,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/dedup-worker,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/quality-filter,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/curriculum-scheduler,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-train/dataset-indexer,ai-train/dataset-cache,/usr/bin/python3.11,true
ai-infer/inference-router,ai-infer/model-registry,/usr/local/bin/envoy,true
ai-infer/model-loader,ai-infer/model-registry,/usr/local/bin/model-loader,true
ai-infer/warm-pool-controller,ai-infer/model-registry,/usr/local/bin/warm-pool,true
ai-infer/canary-controller,ai-infer/model-registry,/usr/local/bin/canaryd,true
ai-infer/ab-router,ai-infer/model-registry,/usr/local/bin/envoy,true
ai-infer/eval-replay,ai-infer/model-registry,/opt/venv/bin/python3.11,true
ai-infer/latency-probe,ai-infer/model-registry,/usr/local/bin/probe,true
ai-infer/schema-registry,ai-infer/model-registry,/opt/java/bin/java,true
ai-infer/serve-llm-70b-01,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-llm-70b-02,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-llm-7b-01,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-llm-7b-02,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-llm-7712-01,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-llm-7712-02,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-code-13b-01,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-code-13b-02,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-vision-2b-01,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-vision-2b-02,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-asr-1b-01,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-asr-1b-02,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-embed-l-01,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-embed-l-02,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-rerank-s-01,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-rerank-s-02,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-guard-3b-01,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-guard-3b-02,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-summ-8b-01,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/serve-summ-8b-02,ai-infer/model-registry,/opt/vllm/bin/python3.11,true
ai-infer/rag-gateway,ai-infer/vector-index,/opt/venv/bin/python3.11,true
ai-infer/embed-service,ai-infer/vector-index,/opt/venv/bin/python3.11,true
ai-infer/rerank-service,ai-infer/vector-index,/opt/venv/bin/python3.11,true
ai-infer/citation-service,ai-infer/vector-index,/usr/local/bin/node,true
ai-infer/web-search-tool,ai-infer/vector-index,/usr/local/bin/node,true
ai-infer/prompt-cache,ai-infer/vector-index,/usr/local/bin/redis-server,true
ai-infer/serve-embed-l-01,ai-infer/vector-index,/opt/vllm/bin/python3.11,true
ai-infer/serve-embed-l-02,ai-infer/vector-index,/opt/vllm/bin/python3.11,true
ai-infer/serve-rerank-s-01,ai-infer/vector-index,/opt/vllm/bin/python3.11,true
ai-infer/serve-rerank-s-02,ai-infer/vector-index,/opt/vllm/bin/python3.11,true
ai-infer/feedback-collector,ai-infer/vector-index,/opt/venv/bin/python3.11,true
ai-infer/eval-replay,ai-infer/vector-index,/opt/venv/bin/python3.11,true
data-eng/spark-driver,ai-train/dataset-cache,/opt/java/bin/java,true
vm-legacy/erp-batch,ai-infer/model-registry,/opt/erp/bin/sync,true
ai-infer/eval-harness,ai-train/checkpoint-store,/usr/bin/python3.11,true
platform/backup-agent,ai-train/checkpoint-store,/usr/bin/restic,true
ml-notebooks/jupyter,ai-train/dataset-cache,/opt/conda/bin/python,true
platform/argocd-repo,ai-infer/model-registry,/usr/local/bin/argocd,true
observability/log-shipper,ai-train/dataset-cache,/usr/bin/fluent-bit,true
data-eng/airflow-worker,ai-infer/model-registry,/usr/local/bin/python3.11,true
