dest_workload,src_workload,port,policy
ai-train/checkpoint-store,ai-train/trainer,9000,checkpoint-store-ingress-allowlist
ai-train/checkpoint-store,ai-train/eval-runner,9000,checkpoint-store-ingress-allowlist
ai-train/checkpoint-store,ai-train/ckpt-compactor,9000,checkpoint-store-ingress-allowlist
ai-train/dataset-cache,ai-train/trainer,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/eval-runner,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/data-loader,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/tokenizer-service,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/shard-manager,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/run-tracker,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/sweep-controller,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/hp-tuner,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/feature-builder,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/augmenter,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/dedup-worker,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/quality-filter,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/curriculum-scheduler,8443,dataset-cache-ingress-allowlist
ai-train/dataset-cache,ai-train/dataset-indexer,8443,dataset-cache-ingress-allowlist
ai-infer/model-registry,ai-infer/inference-router,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/model-loader,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/warm-pool-controller,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/canary-controller,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/ab-router,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/eval-replay,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/latency-probe,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/schema-registry,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-llm-70b-01,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-llm-70b-02,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-llm-7b-01,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-llm-7b-02,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-llm-7712-01,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-llm-7712-02,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-code-13b-01,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-code-13b-02,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-vision-2b-01,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-vision-2b-02,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-asr-1b-01,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-asr-1b-02,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-embed-l-01,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-embed-l-02,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-rerank-s-01,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-rerank-s-02,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-guard-3b-01,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-guard-3b-02,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-summ-8b-01,443,model-registry-ingress-allowlist
ai-infer/model-registry,ai-infer/serve-summ-8b-02,443,model-registry-ingress-allowlist
ai-infer/vector-index,ai-infer/rag-gateway,6333,vector-index-ingress-allowlist
ai-infer/vector-index,ai-infer/embed-service,6333,vector-index-ingress-allowlist
ai-infer/vector-index,ai-infer/rerank-service,6333,vector-index-ingress-allowlist
ai-infer/vector-index,ai-infer/citation-service,6333,vector-index-ingress-allowlist
ai-infer/vector-index,ai-infer/web-search-tool,6333,vector-index-ingress-allowlist
ai-infer/vector-index,ai-infer/prompt-cache,6333,vector-index-ingress-allowlist
ai-infer/vector-index,ai-infer/serve-embed-l-01,6333,vector-index-ingress-allowlist
ai-infer/vector-index,ai-infer/serve-embed-l-02,6333,vector-index-ingress-allowlist
ai-infer/vector-index,ai-infer/serve-rerank-s-01,6333,vector-index-ingress-allowlist
ai-infer/vector-index,ai-infer/serve-rerank-s-02,6333,vector-index-ingress-allowlist
ai-infer/vector-index,ai-infer/feedback-collector,6333,vector-index-ingress-allowlist
ai-infer/vector-index,ai-infer/eval-replay,6333,vector-index-ingress-allowlist
