workload,namespace,kind,owner,team,tier,data_class,description
build-farm/ci-runner,build-farm,Deployment,platform-build,platform-build,tier-2,internal,ci runner in build-farm
build-farm/build-cache,build-farm,Deployment,platform-build,platform-build,tier-2,internal,build cache in build-farm
build-farm/artifact-proxy,build-farm,Deployment,platform-build,platform-build,tier-2,internal,artifact proxy in build-farm
build-farm/image-builder,build-farm,Deployment,platform-build,platform-build,tier-2,internal,image builder in build-farm
build-farm/runner-metrics,build-farm,Deployment,platform-build,platform-build,tier-2,internal,runner metrics in build-farm
build-farm/webhook-relay,build-farm,Deployment,platform-build,platform-build,tier-2,internal,webhook relay in build-farm
build-farm/secrets-agent,build-farm,Deployment,platform-build,platform-build,tier-2,internal,secrets agent in build-farm
build-farm/git-mirror,build-farm,Deployment,platform-build,platform-build,tier-2,internal,git mirror in build-farm
build-farm/build-scheduler,build-farm,Deployment,platform-build,platform-build,tier-2,internal,build scheduler in build-farm
build-farm/dep-proxy,build-farm,Deployment,platform-build,platform-build,tier-2,internal,dep proxy in build-farm
build-farm/npm-cache,build-farm,Deployment,platform-build,platform-build,tier-2,internal,npm cache in build-farm
build-farm/pip-cache,build-farm,Deployment,platform-build,platform-build,tier-2,internal,pip cache in build-farm
build-farm/go-proxy,build-farm,Deployment,platform-build,platform-build,tier-2,internal,go proxy in build-farm
build-farm/maven-cache,build-farm,Deployment,platform-build,platform-build,tier-2,internal,maven cache in build-farm
build-farm/registry-mirror,build-farm,Deployment,platform-build,platform-build,tier-2,internal,registry mirror in build-farm
build-farm/test-reporter,build-farm,Deployment,platform-build,platform-build,tier-2,internal,test reporter in build-farm
build-farm/coverage-collector,build-farm,Deployment,platform-build,platform-build,tier-2,internal,coverage collector in build-farm
build-farm/sbom-scanner,build-farm,Deployment,platform-build,platform-build,tier-2,internal,sbom scanner in build-farm
build-farm/sast-runner,build-farm,Deployment,platform-build,platform-build,tier-2,internal,sast runner in build-farm
build-farm/release-bot,build-farm,Deployment,platform-build,platform-build,tier-2,internal,release bot in build-farm
build-farm/artifact-gc,build-farm,Deployment,platform-build,platform-build,tier-2,internal,artifact gc in build-farm
build-farm/runner-autoscaler,build-farm,Deployment,platform-build,platform-build,tier-2,internal,runner autoscaler in build-farm
build-farm/kaniko-worker,build-farm,Deployment,platform-build,platform-build,tier-2,internal,kaniko worker in build-farm
build-farm/buildkit,build-farm,Deployment,platform-build,platform-build,tier-2,internal,buildkit in build-farm
build-farm/ccache,build-farm,Deployment,platform-build,platform-build,tier-2,internal,ccache in build-farm
build-farm/bazel-remote,build-farm,Deployment,platform-build,platform-build,tier-2,internal,bazel remote in build-farm
build-farm/job-dispatcher,build-farm,Deployment,platform-build,platform-build,tier-2,internal,job dispatcher in build-farm
build-farm/pipeline-api,build-farm,Deployment,platform-build,platform-build,tier-2,internal,pipeline api in build-farm
build-farm/queue-worker,build-farm,Deployment,platform-build,platform-build,tier-2,internal,queue worker in build-farm
build-farm/notify-bot,build-farm,Deployment,platform-build,platform-build,tier-2,internal,notify bot in build-farm
build-farm/status-page,build-farm,Deployment,platform-build,platform-build,tier-2,internal,status page in build-farm
build-farm/runner-registrar,build-farm,Deployment,platform-build,platform-build,tier-2,internal,runner registrar in build-farm
build-farm/cleanup-cron,build-farm,Deployment,platform-build,platform-build,tier-2,internal,cleanup cron in build-farm
build-farm/metrics-exporter,build-farm,Deployment,platform-build,platform-build,tier-2,internal,metrics exporter in build-farm
build-farm/trivy-scanner,build-farm,Deployment,platform-build,platform-build,tier-2,internal,trivy scanner in build-farm
build-farm/changelog-bot,build-farm,Deployment,platform-build,platform-build,tier-2,internal,changelog bot in build-farm
ai-train/trainer,ai-train,Deployment,ml-research,ml-platform,tier-1,internal,trainer in ai-train
ai-train/eval-runner,ai-train,Deployment,ml-research,ml-platform,tier-1,internal,eval runner in ai-train
ai-train/ckpt-compactor,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,ckpt compactor in ai-train
ai-train/checkpoint-store,ai-train,StatefulSet,ml-platform,ml-platform,crown-jewel,crown-jewel,checkpoint store in ai-train
ai-train/dataset-cache,ai-train,StatefulSet,ml-platform,ml-platform,tier-1,restricted,dataset cache in ai-train
ai-train/data-loader,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,data loader in ai-train
ai-train/tokenizer-service,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,tokenizer service in ai-train
ai-train/shard-manager,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,shard manager in ai-train
ai-train/run-tracker,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,run tracker in ai-train
ai-train/metrics-db,ai-train,StatefulSet,ml-platform,ml-platform,tier-1,internal,metrics db in ai-train
ai-train/tensorboard,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,tensorboard in ai-train
ai-train/sweep-controller,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,sweep controller in ai-train
ai-train/hp-tuner,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,hp tuner in ai-train
ai-train/eval-db,ai-train,StatefulSet,ml-platform,ml-platform,tier-1,internal,eval db in ai-train
ai-train/feature-builder,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,feature builder in ai-train
ai-train/augmenter,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,augmenter in ai-train
ai-train/dedup-worker,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,dedup worker in ai-train
ai-train/quality-filter,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,quality filter in ai-train
ai-train/curriculum-scheduler,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,curriculum scheduler in ai-train
ai-train/grad-monitor,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,grad monitor in ai-train
ai-train/ckpt-verifier,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,ckpt verifier in ai-train
ai-train/ckpt-replicator,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,ckpt replicator in ai-train
ai-train/dataset-indexer,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,dataset indexer in ai-train
ai-train/label-service,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,label service in ai-train
ai-train/lineage-tracker,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,lineage tracker in ai-train
ai-train/experiment-api,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,experiment api in ai-train
ai-train/queue-controller,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,queue controller in ai-train
ai-train/gpu-allocator,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,gpu allocator in ai-train
ai-train/nccl-tester,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,nccl tester in ai-train
ai-train/topology-probe,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,topology probe in ai-train
ai-train/rdma-monitor,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,rdma monitor in ai-train
ai-train/trainer-sidecar-metrics,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,trainer sidecar metrics in ai-train
ai-train/loss-dashboard,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,loss dashboard in ai-train
ai-train/run-archiver,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,run archiver in ai-train
ai-train/config-server,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,config server in ai-train
ai-train/secrets-broker,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,secrets broker in ai-train
ai-train/artifact-signer,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,artifact signer in ai-train
ai-train/eval-scheduler,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,eval scheduler in ai-train
ai-train/prompt-bank,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,prompt bank in ai-train
ai-train/benchmark-runner,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,benchmark runner in ai-train
ai-train/reward-model-trainer,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,reward model trainer in ai-train
ai-train/rl-rollout-worker,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,rl rollout worker in ai-train
ai-train/dpo-trainer,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,dpo trainer in ai-train
ai-train/sft-trainer,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,sft trainer in ai-train
ai-train/merge-worker,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,merge worker in ai-train
ai-train/quant-worker,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,quant worker in ai-train
ai-train/export-worker,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,export worker in ai-train
ai-train/safety-eval,ai-train,Deployment,ml-platform,ml-platform,tier-1,internal,safety eval in ai-train
ai-infer/model-registry,ai-infer,StatefulSet,ml-platform,ml-serving,tier-1,restricted,model registry in ai-infer
ai-infer/vector-index,ai-infer,StatefulSet,ml-serving,ml-serving,tier-1,confidential,vector index in ai-infer
ai-infer/eval-harness,ai-infer,Deployment,ml-eval,ml-serving,tier-1,internal,eval harness in ai-infer
ai-infer/rag-gateway,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,rag gateway in ai-infer
ai-infer/embed-service,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,embed service in ai-infer
ai-infer/rerank-service,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,rerank service in ai-infer
ai-infer/guardrail-service,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,guardrail service in ai-infer
ai-infer/prompt-cache,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,prompt cache in ai-infer
ai-infer/kv-cache-proxy,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,kv cache proxy in ai-infer
ai-infer/inference-router,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,inference router in ai-infer
ai-infer/api-gateway,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,api gateway in ai-infer
ai-infer/token-budget,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,token budget in ai-infer
ai-infer/usage-meter,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,usage meter in ai-infer
ai-infer/abuse-filter,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,abuse filter in ai-infer
ai-infer/model-loader,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,model loader in ai-infer
ai-infer/warm-pool-controller,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,warm pool controller in ai-infer
ai-infer/canary-controller,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,canary controller in ai-infer
ai-infer/ab-router,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,ab router in ai-infer
ai-infer/schema-registry,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,schema registry in ai-infer
ai-infer/feature-store-reader,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,feature store reader in ai-infer
ai-infer/moderation-service,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,moderation service in ai-infer
ai-infer/citation-service,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,citation service in ai-infer
ai-infer/web-search-tool,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,web search tool in ai-infer
ai-infer/code-exec-sandbox,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,code exec sandbox in ai-infer
ai-infer/session-store,ai-infer,StatefulSet,ml-serving,ml-serving,tier-1,internal,session store in ai-infer
ai-infer/conversation-db,ai-infer,StatefulSet,ml-serving,ml-serving,tier-1,confidential,conversation db in ai-infer
ai-infer/feedback-collector,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,feedback collector in ai-infer
ai-infer/eval-replay,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,eval replay in ai-infer
ai-infer/latency-probe,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,latency probe in ai-infer
